DEU	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	5.0	4.0	0.0	0.0	0.0	8.0	25.0	22.0	0.0	27.0	32.0	23.0	49.0	55.0	72.0	64.0	66.0	128.0	149.0	140.0	145.0	141.0	184.0	92.0	173.0	254.0	246.0	266.0	171.0	129.0	126.0	170.0	285.0	315.0	299.0	242.0	184.0	110.0	194.0	281.0	215.0	227.0	179.0	140.0	110.0	163.0	202.0	173.0	0.0	287.0	74.0	43.0	139.0	165.0	123.0	147.0	103.0	26.0	22.0	116.0	101.0	89.0	101.0	57.0	33.0	21.0	72.0	83.0	57.0	0.0	null	null	null	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	null	null	null	null	null	null
IND	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	4.0	0.0	1.0	3.0	4.0	0.0	8.0	4.0	3.0	6.0	12.0	6.0	12.0	9.0	32.0	5.0	35.0	20.0	30.0	40.0	34.0	35.0	31.0	38.0	37.0	23.0	43.0	27.0	36.0	47.0	50.0	41.0	37.0	57.0	49.0	48.0	62.0	73.0	67.0	73.0	71.0	83.0	72.0	195.0	126.0	89.0	103.0	95.0	128.0	97.0	87.0	122.0	134.0	100.0	103.0	120.0	157.0	134.0	140.0	132.0	0.0	null	null	null	null	null	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	null	null	null	null	null	null
NAM	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	null	null	null	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	null	null	null	null	null	null	null	null	null	null	null	null	null	null
IRN	4.0	3.0	4.0	7.0	8.0	9.0	0.0	23.0	11.0	15.0	15.0	17.0	21.0	49.0	43.0	54.0	63.0	75.0	85.0	94.0	116.0	129.0	135.0	147.0	149.0	149.0	123.0	129.0	127.0	122.0	143.0	157.0	144.0	139.0	123.0	117.0	141.0	138.0	124.0	134.0	158.0	151.0	136.0	133.0	121.0	117.0	122.0	125.0	117.0	111.0	98.0	94.0	92.0	89.0	73.0	87.0	91.0	88.0	94.0	90.0	93.0	76.0	60.0	96.0	71.0	80.0	71.0	63.0	65.0	47.0	74.0	63.0	78.0	68.0	55.0	48.0	51.0	45.0	48.0	50.0	71.0	48.0	35.0	51.0	69.0	62.0	64.0	66.0	0.0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	2.0	0.0	2.0	1.0	3.0	null	null	null	null	null	null	null	null	null	null	null	null	null	null
IRQ	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	2.0	1.0	0.0	2.0	3.0	3.0	3.0	4.0	2.0	7.0	4.0	2.0	0.0	0.0	4.0	4.0	4.0	0.0	2.0	5.0	3.0	0.0	1.0	4.0	1.0	2.0	4.0	2.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	2.0	1.0	4.0	0.0	0.0	2.0	5.0	1.0	2.0	3.0	0.0	2.0	4.0	2.0	4.0	4.0	3.0	6.0	0.0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
ISR	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	4.0	0.0	5.0	2.0	3.0	0.0	2.0	4.0	0.0	8.0	7.0	6.0	4.0	6.0	19.0	0.0	8.0	13.0	4.0	7.0	7.0	7.0	9.0	14.0	8.0	10.0	13.0	10.0	3.0	5.0	3.0	2.0	5.0	0.0	3.0	10.0	0.0	11.0	4.0	0.0	0.0	7.0	3.0	1.0	1.0	6.0	0.0	9.0	4.0	4.0	0.0	2.0	2.0	2.0	3.0	1.0	5.0	1.0	0.0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	0.0	0.0	0.0	null	null	null	null	null	null	null	null	null	null	null	null	null	null
ITA	5.0	5.0	0.0	5.0	4.0	8.0	6.0	17.0	28.0	27.0	41.0	49.0	37.0	132.0	97.0	168.0	196.0	189.0	252.0	173.0	368.0	349.0	347.0	473.0	429.0	625.0	795.0	0.0	649.0	601.0	743.0	685.0	660.0	971.0	887.0	758.0	810.0	839.0	727.0	760.0	764.0	681.0	527.0	636.0	604.0	540.0	612.0	570.0	619.0	431.0	564.0	604.0	578.0	525.0	575.0	480.0	433.0	454.0	534.0	437.0	464.0	420.0	415.0	260.0	333.0	382.0	323.0	285.0	269.0	474.0	174.0	195.0	236.0	369.0	274.0	243.0	194.0	165.0	179.0	172.0	195.0	262.0	242.0	153.0	145.0	99.0	162.0	161.0	0.0	null	null	null	null	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	null	null	null	null	null	null	null	null	null	null	null	null	null	null
JPN	0.0	0.0	2.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	3.0	3.0	4.0	3.0	0.0	2.0	4.0	1.0	4.0	2.0	1.0	0.0	5.0	1.0	1.0	2.0	1.0	3.0	3.0	2.0	2.0	1.0	0.0	8.0	4.0	1.0	3.0	7.0	1.0	4.0	3.0	6.0	4.0	4.0	7.0	10.0	17.0	12.0	6.0	7.0	10.0	15.0	91.0	10.0	30.0	17.0	14.0	3.0	25.0	13.0	26.0	17.0	22.0	38.0	18.0	11.0	22.0	8.0	6.0	43.0	13.0	8.0	22.0	25.0	19.0	23.0	15.0	19.0	5.0	14.0	8.0	6.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	null	null	null	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KWT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	2.0	1.0	1.0	2.0	2.0	2.0	1.0	1.0	4.0	1.0	2.0	1.0	1.0	2.0	4.0	3.0	5.0	2.0	0.0	2.0	2.0	3.0	2.0	9.0	7.0	10.0	7.0	6.0	8.0	11.0	5.0	6.0	3.0	3.0	5.0	0.0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
LBN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	1.0	2.0	1.0	1.0	0.0	4.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	0.0	0.0	0.0	null	null	null	null	null	null	null	null	null	null	null	null	null	null
MYS	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	6.0	2.0	4.0	1.0	5.0	2.0	3.0	1.0	7.0	3.0	6.0	2.0	5.0	3.0	4.0	4.0	1.0	1.0	2.0	2.0	3.0	3.0	3.0	1.0	5.0	1.0	1.0	2.0	2.0	1.0	0.0	3.0	1.0	2.0	1.0	2.0	0.0	1.0	1.0	0.0	2.0	1.0	0.0	2.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	2.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	null	null	null	null	null	null
NPL	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	null	null	null	null	0.0	0.0
OMN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	1.0	1.0	4.0	2.0	1.0	0.0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
PHL	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	10.0	0.0	0.0	2.0	3.0	1.0	1.0	6.0	8.0	0.0	5.0	7.0	0.0	23.0	0.0	10.0	0.0	18.0	0.0	11.0	29.0	8.0	8.0	11.0	19.0	21.0	0.0	44.0	50.0	18.0	20.0	0.0	27.0	0.0	25.0	10.0	12.0	19.0	9.0	9.0	16.0	15.0	17.0	7.0	10.0	19.0	28.0	10.0	11.0	24.0	4.0	16.0	14.0	21.0	27.0	11.0	8.0	15.0	7.0	25.0	21.0	18.0	27.0	7.0	7.0	0.0	6.0	9.0	0.0	null	null	null	null	null	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	null	null	null	null	null	null
KOR	5.0	3.0	2.0	1.0	0.0	4.0	1.0	4.0	6.0	4.0	3.0	7.0	2.0	6.0	1.0	3.0	6.0	6.0	1.0	5.0	3.0	0.0	6.0	3.0	10.0	8.0	2.0	0.0	7.0	9.0	6.0	5.0	8.0	5.0	8.0	6.0	4.0	3.0	4.0	5.0	3.0	6.0	3.0	6.0	8.0	4.0	4.0	3.0	3.0	3.0	5.0	3.0	4.0	1.0	2.0	2.0	2.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	1.0	2.0	1.0	1.0	2.0	0.0	2.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	2.0	1.0	1.0	0.0	2.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	null	null	null	null	null	null	null	null	0.0	0.0	0.0	0.0	0.0	0.0
RUS	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	1.0	4.0	1.0	0.0	8.0	7.0	6.0	4.0	9.0	2.0	2.0	11.0	18.0	18.0	12.0	24.0	18.0	22.0	28.0	34.0	41.0	40.0	48.0	0.0	95.0	57.0	42.0	60.0	0.0	66.0	113.0	73.0	105.0	101.0	96.0	53.0	58.0	76.0	95.0	86.0	88.0	98.0	104.0	88.0	94.0	107.0	96.0	93.0	113.0	119.0	94.0	91.0	115.0	135.0	127.0	0.0	null	null	null	null	null	null	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	null	null	null	null	null	null
ESP	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	2.0	0.0	5.0	18.0	8.0	11.0	37.0	36.0	16.0	152.0	21.0	182.0	107.0	169.0	235.0	324.0	0.0	394.0	462.0	514.0	738.0	655.0	769.0	832.0	838.0	812.0	849.0	864.0	950.0	932.0	809.0	674.0	637.0	743.0	757.0	683.0	605.0	510.0	619.0	517.0	567.0	523.0	551.0	348.0	565.0	410.0	399.0	430.0	435.0	440.0	367.0	0.0	666.0	0.0	632.0	453.0	268.0	281.0	276.0	164.0	164.0	185.0	244.0	213.0	181.0	227.0	143.0	123.0	176.0	184.0	217.0	138.0	104.0	87.0	59.0	69.0	110.0	0.0	null	null	null	null	null	null	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	null	null	null	null	null	null
LKA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	null	null	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	null	null	null	null	null	null
